conf. year,journal,journal year,journal vol,title,doi,doi link
2020,C&G,2021,96,ProSeCo: Visual analysis of class separation measures and dataset characteristics,10.1016/j.cag.2021.03.004,https://doi.org/10.1016/j.cag.2021.03.004
2020,C&G,2021,98,Using multiple attribute-based explanations of multidimensional projections to explore high-dimensional data,10.1016/j.cag.2021.04.034,https://doi.org/10.1016/j.cag.2021.04.034
2020,C&G,2021,100,Co-adaptive visual data analysis and guidance processes,10.1016/j.cag.2021.06.016,https://doi.org/10.1016/j.cag.2021.06.016
2020,C&G,2021,101,SpatialRugs: A compact visualization of space and time for analyzing collective movement data,10.1016/j.cag.2021.08.003,https://doi.org/10.1016/j.cag.2021.08.003
2021,C&G,2022,106,Uncovering chains of infections through spatio-temporal and visual analysis of COVID-19 contact traces,10.1016/j.cag.2022.05.013,https://doi.org/10.1016/j.cag.2022.05.013
2021,C&G,2022,106,Understanding multi-modal brain network data: An immersive 3D visualization approach,10.1016/j.cag.2022.05.024,https://doi.org/10.1016/j.cag.2022.05.024
2021,C&G,2022,106,A Data-Driven Platform for the Coordination of Independent Visual Analytics Tools,10.1016/j.cag.2022.05.023,https://doi.org/10.1016/j.cag.2022.05.023
2022,C&G,2023,112,"SAXRegEx: Multivariate time series pattern search with symbolic representation, regular expression, and query expansion",10.1016/j.cag.2023.03.002,https://doi.org/10.1016/j.cag.2023.03.002
2022,C&G,2023,114,How applicable are attribute-based approaches for human-centered ranking creation?,10.1016/j.cag.2023.05.004,https://doi.org/10.1016/j.cag.2023.05.004
2022,C&G,2023,114,ScrutinAI: A visual analytics tool supporting semantic assessments of object detection models,10.1016/j.cag.2023.06.010,https://doi.org/10.1016/j.cag.2023.06.010
2022,C&G,2023,114,CryptoComparator: Supporting cryptocurrencies analysis through Visual Analytics,10.1016/j.cag.2023.05.008,https://doi.org/10.1016/j.cag.2023.05.008
2022,C&G,2023,115,LFPeers: Temporal similarity search and result exploration,10.1016/j.cag.2023.06.009,https://doi.org/10.1016/j.cag.2023.06.009
2023,C&G,2024,122,Interactive tools for explaining multidimensional projections for high-dimensional tabular data,10.1016/j.cag.2024.103987,https://doi.org/10.1016/j.cag.2024.103987
2023,C&G,2024,122,Topic modelling for spatial insights: Uncovering space use from movement data,10.1016/j.cag.2024.103989,https://doi.org/10.1016/j.cag.2024.103989
2023,C&G,2024,124,Controlling the scatterplot shapes of 2D and 3D multidimensional projections,10.1016/j.cag.2024.104093,https://doi.org/10.1016/j.cag.2024.104093
2023,C&G,2024,124,ChatKG: Visualizing time-series patterns aided by intelligent agents and a knowledge graph,10.1016/j.cag.2024.104092,https://doi.org/10.1016/j.cag.2024.104092